name, latitude, longitude, rating, num_reviews, neighborhoods
Varsity Club,40.006641,-83.016991,3.5,42, 'University District'
Suzi-Cue Pool Hall,40.0028992,-82.9981079,3.5,13, 'University District'
L'Antibes,39.9781417847,-83.003288269,4,36, 'Short North
The Boat House,39.9649818442,-83.0180459441,3.5,55, ''
Challah Food Truck,39.9643603158,-83.0008718048,4,27, 'Downtown'
Rishi Sushi Kitchen & Bar,39.964936,-82.997958,3.5,75, 'Downtown'
Jeni's Splendid Ice Creams,39.9721718,-83.004158,4.5,278, 'Short North'
Thai Basils,39.991497,-83.049232,4,62, 'Grandview Heights'
Phatt Taco,39.9634290487,-83.0008533597,4.5,14, 'Downtown'
Casa Sazon,39.9634022266,-83.000966683,4.5,12, 'Downtown'
The Wine Bistro,40.0073247403,-83.0567519367,4,62, 'Upper Arlington'
Exile,39.981365,-82.998863,4,14, 'Italian Village'
Hey Hey Bar & Grill,39.944149,-82.987167,4,35, 'Merion Village'
Oldfield's North Fourth Tavern,39.9953047,-82.9991771,4.5,7, 'University District'
Gordon Biersch Brewery Restaurant,39.969784,-83.004417,3,121, 'Arena District'
Club 185,39.9524383545,-82.9935836792,3.5,98, 'German Village'
Carabar,39.9618492,-82.9818573,3.5,52, 'Olde Towne East'
The Ohio Taproom,39.984676,-83.040092,4,20, 'Grandview Heights'
Grass Skirt Tiki Room,39.9655418,-82.9916611,3.5,113, 'Discovery District'
Japanese Steak House,39.9720993,-83.0027924,3.5,17, 'Short North'
Byrne's Pub,39.985107,-83.038872,3.5,47, 'Grandview Heights'
Indian Oven,39.9573288,-82.9879303,3.5,77, 'Discovery District'
World of Beer,39.951416,-83.001037,3.5,84, 'Brewery District'
Hubbard Grille,39.978611,-83.0040131,3.5,167, 'Short North'
Eddie George's Grille 27,39.9955788,-83.006958,3,115, 'University District'
George's Pizza,40.0205426663,-83.0250804126,4,20, ''
Hofbrauhaus Columbus,39.9742665142,-83.0249677598,4,101, 'Grandview Heights'
Spinelli's Deli,39.9770117551,-83.0111027509,3.5,71, 'Harrison West
The Old Bag of Nails Pub,39.97966,-83.0338821,3.5,38, 'Grandview Heights'
